layer,signal,dataset,period,risk_level,risk_label,n,n20,avg20,median20,win20,right_tail20_rate,n60,avg60,median60,win60,right_tail60_rate,notes
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,train_2023_2025,3,Level 3 暫不追 / 風險 veto,6,6,0.09913993788193991,0.1137899958041049,0.6666666666666666,0.3333333333333333,6,0.1049637296192345,0.15386603942720772,0.8333333333333334,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,holdout_2026,0,Level 0 正常候選 / 可以研究,5,4,0.35264599827480464,0.3256514191676611,1.0,1.0,1,0.4267191606423355,0.4267191606423355,1.0,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,holdout_2026,1,Level 1 追高警戒 / 可看但不要追,6,6,0.22177991557891982,0.2035788432752588,0.8333333333333334,0.6666666666666666,2,0.35805197673905453,0.35805197673905453,0.5,0.5,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,holdout_2026,2,Level 2 高追高 / 只觀察,3,3,0.34109090297558753,0.1302935583957769,1.0,0.3333333333333333,0,,,,,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,holdout_2026,3,Level 3 暫不追 / 風險 veto,4,4,0.022040918740872092,0.014026555602090901,0.5,0.5,1,0.0876091625774768,0.0876091625774768,1.0,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,all,0,Level 0 正常候選 / 可以研究,15,14,0.10209145195642065,0.0833047199864212,0.6428571428571429,0.42857142857142855,11,0.02174371382154423,-0.0062420494071877,0.45454545454545453,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,all,1,Level 1 追高警戒 / 可看但不要追,12,12,0.13123574961555695,0.13241297965884863,0.6666666666666666,0.5,8,0.18412612341430937,0.14804158954637636,0.625,0.125,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,all,2,Level 2 高追高 / 只觀察,5,5,0.36499490357369413,0.1302935583957769,0.8,0.4,2,0.5981666379200845,0.5981666379200845,0.5,0.5,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,all,3,Level 3 暫不追 / 風險 veto,10,10,0.06830033022551277,0.1137899958041049,0.6,0.4,7,0.10248450575612626,0.1452419039592731,0.8571428571428571,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,train_2023_2025,0,Level 0 正常候選 / 可以研究,92,92,-0.011515810378531019,-0.016512208315446787,0.42391304347826086,0.05434782608695652,92,0.03275595408562833,-0.020612011684800195,0.42391304347826086,0.06521739130434782,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,train_2023_2025,1,Level 1 追高警戒 / 可看但不要追,45,45,0.023982641537953014,-0.0055855688840334775,0.4444444444444444,0.17777777777777778,45,0.07679983086284389,-0.0017464485591409118,0.4888888888888889,0.06666666666666667,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,train_2023_2025,2,Level 2 高追高 / 只觀察,45,45,0.03257282020286806,-0.008415813850998238,0.4666666666666667,0.1111111111111111,45,0.08041394262809047,-0.07018350206307994,0.4444444444444444,0.08888888888888889,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,train_2023_2025,3,Level 3 暫不追 / 風險 veto,146,145,0.055884769802605525,0.000986647348915154,0.503448275862069,0.13793103448275862,145,0.08884440200467977,-0.018704249449832025,0.4482758620689655,0.1310344827586207,risk levels from P2-6 draft; dedup_prefer_adjusted only
regime_family,c1_c2,dedup_prefer_adjusted,holdout_2026,0,Level 0 正常候選 / 可以研究,14,11,0.08478073237282992,-0.028234007790842397,0.45454545454545453,0.36363636363636365,7,-0.07133697322643716,-0.07565857512973542,0.42857142857142855,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
