layer,signal,dataset,field,bucket,threshold_low,threshold_high,holdout_n,avg20,win20,avg60,win60,notes
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,ret_20d,high,0.14144988633697325,0.27357669060752626,10,0.1726631804872572,0.6,0.04569332018202064,0.6,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,range_pos,low,1.0,1.0,31,0.18352891363410453,0.7241379310344828,0.21076208047076728,0.7,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,range_pos,mid,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,range_pos,high,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,signal_day_ret_1d,low,0.01857099733931313,0.05449559592622659,6,0.3471699725796386,0.8,0.8740212264670382,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,signal_day_ret_1d,mid,0.01857099733931313,0.05449559592622659,13,0.17843036225172393,0.8181818181818182,0.1344009438267032,0.5,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,signal_day_ret_1d,high,0.01857099733931313,0.05449559592622659,15,0.12153831471492829,0.5714285714285714,0.14272860652589933,0.7142857142857143,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,next_open_gap,low,-0.003169402434956734,0.007461795351046331,7,0.321261921292368,1.0,-0.1579172729889291,0.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,next_open_gap,mid,-0.003169402434956734,0.007461795351046331,10,0.2327490788091448,0.8,0.6650514346477201,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,next_open_gap,high,-0.003169402434956734,0.007461795351046331,17,0.08178985270217831,0.5,0.050781054807918106,0.6666666666666666,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,ret_20d,low,0.1455026450936918,0.2737002876011001,4,0.3156717589079584,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,ret_20d,mid,0.1455026450936918,0.2737002876011001,18,0.16621624209473307,0.75,0.3826913510695995,0.8,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,ret_20d,high,0.1455026450936918,0.2737002876011001,12,0.14779733445285895,0.5,0.04569332089074847,0.6,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,range_pos,low,1.0,1.0,34,0.18000400845587178,0.7,0.21419233598017398,0.7,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,range_pos,mid,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,adjusted_only,range_pos,high,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,signal_day_ret_1d,low,0.013181883868562266,0.05143798986442098,5,0.30409868658575767,0.75,0.8740212264670382,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,signal_day_ret_1d,mid,0.013181883868562266,0.05143798986442098,12,0.24631428635116484,0.9,0.4267191606423355,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,signal_day_ret_1d,high,0.013181883868562266,0.05143798986442098,17,0.10753641523884208,0.5625,0.10514787158654579,0.625,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,next_open_gap,low,-0.003169402434956734,0.007461795351046331,7,0.321261921292368,1.0,-0.1579172729889291,0.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,next_open_gap,mid,-0.003169402434956734,0.007461795351046331,10,0.2327490788091448,0.8,0.6650514346477201,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,next_open_gap,high,-0.003169402434956734,0.007461795351046331,17,0.08178985270217831,0.5,0.050781054807918106,0.6666666666666666,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,ret_20d,low,0.14230874773648222,0.2702547603947923,4,0.3156717589079584,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,ret_20d,mid,0.14230874773648222,0.2702547603947923,18,0.16621624209473307,0.75,0.3826913510695995,0.8,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,ret_20d,high,0.14230874773648222,0.2702547603947923,12,0.14779733445285895,0.5,0.04569332089074847,0.6,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,range_pos,low,1.0,1.0,34,0.1800040084558718,0.7,0.21419233598017398,0.7,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,range_pos,mid,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,range_pos,high,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,signal_day_ret_1d,low,0.0103092783505154,0.0240549828178693,2,0.2008843560194568,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,signal_day_ret_1d,mid,0.0103092783505154,0.0240549828178693,3,0.4723331388411762,1.0,0.6503701935546868,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,signal_day_ret_1d,high,0.0103092783505154,0.0240549828178693,12,0.1590313234065589,0.75,-0.03515405520572615,0.5,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,next_open_gap,low,-0.0022388059701493,0.0059701492537314,4,0.32185149509831906,1.0,-0.1579172729889291,0.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,next_open_gap,mid,-0.0022388059701493,0.0059701492537314,6,0.3196270932046223,1.0,0.4267191606423355,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,next_open_gap,high,-0.0022388059701493,0.0059701492537314,7,0.0918489441284288,0.5714285714285714,0.4808151945222575,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,ret_20d,low,0.1157495256166982,0.1428571428571428,2,0.3248743374754697,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,ret_20d,mid,0.1157495256166982,0.1428571428571428,2,0.3064691803404471,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,ret_20d,high,0.1157495256166982,0.1428571428571428,13,0.18863105148248827,0.75,0.30760806917448036,0.75,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,range_pos,low,1.0,1.0,17,0.2203912283388558,0.8125,0.30760806917448036,0.75,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,range_pos,mid,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,raw_only,range_pos,high,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,signal_day_ret_1d,low,0.011237027218346001,0.029938146352162097,2,0.2008843560194568,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,signal_day_ret_1d,mid,0.011237027218346001,0.029938146352162097,3,0.4723331388411762,1.0,0.6503701935546868,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,signal_day_ret_1d,high,0.011237027218346001,0.029938146352162097,13,0.171908930609231,0.7692307692307693,-0.03515405520572615,0.5,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,next_open_gap,low,-0.0018570119438736008,0.006464314682445432,5,0.31723652733045704,1.0,-0.1579172729889291,0.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,next_open_gap,mid,-0.0018570119438736008,0.006464314682445432,6,0.3196270932745731,1.0,0.4267191606423355,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,next_open_gap,high,-0.0018570119438736008,0.006464314682445432,7,0.0951416002133888,0.5714285714285714,0.4808151945222575,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,ret_20d,low,0.126233811740494,0.15371284427562779,3,0.35393422653745893,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,ret_20d,mid,0.126233811740494,0.15371284427562779,1,0.2008843560194568,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,ret_20d,high,0.126233811740494,0.15371284427562779,14,0.19923175652547348,0.7692307692307693,0.30760806917448036,0.75,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,range_pos,low,1.0,1.0,18,0.2266294041448817,0.8235294117647058,0.30760806917448036,0.75,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,range_pos,mid,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,adjusted_only,range_pos,high,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,signal_day_ret_1d,low,0.009894000210868899,0.02584057925557056,2,0.2008843560194568,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,signal_day_ret_1d,mid,0.009894000210868899,0.02584057925557056,3,0.4723331388411762,1.0,0.6503701935546868,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,signal_day_ret_1d,high,0.009894000210868899,0.02584057925557056,13,0.17190893060923101,0.7692307692307693,-0.03515405520572615,0.5,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,next_open_gap,low,-0.002421043285369667,0.006217224443606266,5,0.317236527330457,1.0,-0.1579172729889291,0.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,next_open_gap,mid,-0.002421043285369667,0.006217224443606266,6,0.3196270932745731,1.0,0.4267191606423355,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,next_open_gap,high,-0.002421043285369667,0.006217224443606266,7,0.0951416002133888,0.5714285714285714,0.4808151945222575,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,ret_20d,low,0.1168749962087732,0.15225324607002477,2,0.3248743374754697,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,ret_20d,mid,0.1168749962087732,0.15225324607002477,2,0.3064691803404471,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,ret_20d,high,0.1168749962087732,0.15225324607002477,14,0.19923175652547348,0.7692307692307693,0.30760806917448036,0.75,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,range_pos,low,1.0,1.0,18,0.22662940414488167,0.8235294117647058,0.30760806917448036,0.75,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,range_pos,mid,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,range_pos,high,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
regime_family,c1_c2,raw_only,signal_day_ret_1d,low,0.0153452685421995,0.0453038674033148,17,0.12991820048208022,0.5833333333333334,0.19510350835294213,0.6,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
regime_family,c1_c2,raw_only,signal_day_ret_1d,mid,0.0153452685421995,0.0453038674033148,28,0.10824501075364025,0.625,0.002369496873911095,0.375,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
regime_family,c1_c2,raw_only,signal_day_ret_1d,high,0.0153452685421995,0.0453038674033148,53,0.024393133426220084,0.5,0.05586122445332995,0.5217391304347826,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
regime_family,c1_c2,raw_only,next_open_gap,low,0.0,0.0087719298245614,38,0.06733050936729434,0.6071428571428571,0.10177016229717288,0.5333333333333333,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
regime_family,c1_c2,raw_only,next_open_gap,mid,0.0,0.0087719298245614,11,0.17588831961702583,0.7,0.5600921357957889,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
regime_family,c1_c2,raw_only,next_open_gap,high,0.0,0.0087719298245614,49,0.037763311337416956,0.47619047619047616,-0.01933973825613591,0.42105263157894735,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
regime_family,c1_c2,raw_only,ret_20d,low,0.0926485397784491,0.2151898734177215,10,-0.005666969697031803,0.42857142857142855,-0.3977355920146311,0.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
