date,stock_id,stock_name,industry_category,price_mode,candidate,close,avg_amount_20d,range_pos,gap1,gap2,ret_20d,days_since_max_volume,top5_volume_ratio_120,signal_day_ret_1d,next_open_gap,t1_open_excess_20d,t1_open_excess_60d,risk_signal_day_gt9,risk_next_gap_gt3,risk_liquidity_lt100m,is_main_spec,is_weak_momentum,is_floor15_observation,is_high_open_risk,is_low_liquidity_risk,momentum_bucket_zh,strategy_role_zh,research_priority_zh,research_tags,source_type,ret_60d_signal,ret60_cap150_pass,top1_to_top3_volume_ratio,top1_to_top5_volume_ratio,top1_to_top10_volume_ratio,volume_gap_risk_zh,volgap_subtype_zh,volgap_score_impact,risk_daily_long_ma_bear,risk_weekly_long_ma_bear,risk_any_long_ma_bear,risk_long_ma_score,risk_badge_zh
2026-05-14,3236,千如,電子零組件業,raw,A_repo50_c4_40_fixed20,40.2,256202120.7,1.0,0.0798052810148992,0.1069106305761382,0.1652173913043479,74.0,0.5695685365999169,0.0347490347490346,-0.0261194029850747,0.5583967987444396,,False,False,False,True,False,True,False,False,中段15-25%,主規格CandidateA,優先研究,主規格;floor15觀察,reconstructed,0.3355481727574751,True,1.5220666238410754,1.7557149592032888,2.6443441662340703,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-14,3236,千如,電子零組件業,adjusted,A_repo50_c4_40_fixed20,40.2,256202120.7,1.0,0.0798052810148992,0.1069106305761382,0.1652173913043479,74.0,0.5695685365999169,0.0347490347490346,-0.0261194029850747,0.5583967987444396,,False,False,False,True,False,True,False,False,中段15-25%,主規格CandidateA,優先研究,主規格;floor15觀察,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-14,3236,千如,電子零組件業,raw,B_magic_c4_40_fixed20,40.2,256202120.7,1.0,0.0798052810148992,0.1069106305761382,0.1652173913043479,74.0,0.5695685365999169,0.0347490347490346,-0.0261194029850747,0.5583967987444396,,False,False,False,False,False,False,False,False,中段15-25%,寬基準觀察,規格觀察,非主規格,reconstructed,0.3355481727574751,True,1.5220666238410754,1.7557149592032888,2.6443441662340703,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-14,3236,千如,電子零組件業,adjusted,B_magic_c4_40_fixed20,40.2,256202120.7,1.0,0.0798052810148992,0.1069106305761382,0.1652173913043479,74.0,0.5695685365999169,0.0347490347490346,-0.0261194029850747,0.5583967987444396,,False,False,False,False,False,False,False,False,中段15-25%,寬基準觀察,規格觀察,非主規格,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-14,3537,堡達,電子零組件業,raw,B_magic_c4_40_fixed20,51.5,26669731.05,0.8552278820375334,0.0552546045503792,0.0734556676034607,0.1195652173913044,116.0,0.4551211354398928,0.057494866529774,0.0,0.4120540046614375,,False,False,True,False,False,False,False,True,弱動能<15%,寬基準觀察,規格觀察,非主規格;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-14,3537,堡達,電子零組件業,adjusted,B_magic_c4_40_fixed20,51.5,26669731.05,0.8679260456294966,0.0552546045503792,0.0734556676034607,0.1195652173913044,116.0,0.4551211354398928,0.057494866529774,0.0,0.4120540046614375,,False,False,True,False,False,False,False,True,弱動能<15%,寬基準觀察,規格觀察,非主規格;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-14,3236,千如,電子零組件業,raw,C_c4_25_fixed20,40.2,256202120.7,1.0,0.0798052810148992,0.1069106305761382,0.1652173913043479,74.0,0.5695685365999169,0.0347490347490346,-0.0261194029850747,0.5583967987444396,,False,False,False,False,False,False,False,False,中段15-25%,高濃度觀察,規格觀察,高濃度,reconstructed,0.3355481727574751,True,1.5220666238410754,1.7557149592032888,2.6443441662340703,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-14,3236,千如,電子零組件業,adjusted,C_c4_25_fixed20,40.2,256202120.7,1.0,0.0798052810148992,0.1069106305761382,0.1652173913043479,74.0,0.5695685365999169,0.0347490347490346,-0.0261194029850747,0.5583967987444396,,False,False,False,False,False,False,False,False,中段15-25%,高濃度觀察,規格觀察,高濃度,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-14,3537,堡達,電子零組件業,raw,C_c4_25_fixed20,51.5,26669731.05,0.8552278820375334,0.0552546045503792,0.0734556676034607,0.1195652173913044,116.0,0.4551211354398928,0.057494866529774,0.0,0.4120540046614375,,False,False,True,False,False,False,False,True,弱動能<15%,高濃度觀察,規格觀察,高濃度;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-14,3537,堡達,電子零組件業,adjusted,C_c4_25_fixed20,51.5,26669731.05,0.8679260456294966,0.0552546045503792,0.0734556676034607,0.1195652173913044,116.0,0.4551211354398928,0.057494866529774,0.0,0.4120540046614375,,False,False,True,False,False,False,False,True,弱動能<15%,高濃度觀察,規格觀察,高濃度;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
