price_mode,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3,score_20d
raw,magic_repo40_c460_c5gt3_regime,74,70,0.10065946158199135,0.0605362394386068,0.5714285714285714,47,0.09257896798545885,-0.0062420494560202,0.48936170212765956,0.36486486486486486,0.16216216216216217,0.09332195372432109
raw,magic_repo50_c460_c5gt3_regime,62,58,0.11916676114353332,0.07627661020027315,0.603448275862069,38,0.14564307836333015,0.05956186051235225,0.5526315789473685,0.3387096774193548,0.16129032258064516,0.11246626537268695
raw,magic_repo60_c460_c5gt3_regime,44,41,0.14275491130011772,0.0886193862734387,0.6341463414634146,29,0.16880837966699624,0.1312840180507503,0.5172413793103449,0.36363636363636365,0.1590909090909091,0.12644865456612164
raw,magic_c460_c5gt5_regime,84,80,0.086661181643358,0.052342634448463696,0.55,55,0.08046759020374543,-0.0062420494560202,0.4909090909090909,0.36904761904761907,0.16666666666666666,0.08234263444846371
raw,magic_repo40_c460_c5gt5_regime,73,69,0.10469217359417861,0.0622141712614083,0.5797101449275363,46,0.09618081058966892,0.0062906607076284,0.5,0.3698630136986301,0.1643835616438356,0.09640620024691555
raw,magic_repo50_c460_c5gt5_regime,61,57,0.12437315462427835,0.0886193862734387,0.6140350877192983,37,0.15155520998958788,0.0876091625774768,0.5675675675675675,0.3442622950819672,0.16393442622950818,0.12667640381729833
raw,magic_repo60_c460_c5gt5_regime,44,41,0.14275491130011772,0.0886193862734387,0.6341463414634146,29,0.16880837966699624,0.1312840180507503,0.5172413793103449,0.36363636363636365,0.1590909090909091,0.12644865456612164
raw,magic_c460_c5gt8_regime,84,80,0.086661181643358,0.052342634448463696,0.55,55,0.08046759020374543,-0.0062420494560202,0.4909090909090909,0.36904761904761907,0.16666666666666666,0.08234263444846371
raw,magic_repo40_c460_c5gt8_regime,73,69,0.10469217359417861,0.0622141712614083,0.5797101449275363,46,0.09618081058966892,0.0062906607076284,0.5,0.3698630136986301,0.1643835616438356,0.09640620024691555
raw,magic_repo50_c460_c5gt8_regime,61,57,0.12437315462427835,0.0886193862734387,0.6140350877192983,37,0.15155520998958788,0.0876091625774768,0.5675675675675675,0.3442622950819672,0.16393442622950818,0.12667640381729833
raw,magic_repo60_c460_c5gt8_regime,44,41,0.14275491130011772,0.0886193862734387,0.6341463414634146,29,0.16880837966699624,0.1312840180507503,0.5172413793103449,0.36363636363636365,0.1590909090909091,0.12644865456612164
adj,core_c1c2c3_regime,169,151,0.07426092518776241,-0.0021862095654486,0.4900662251655629,116,0.14476669028545136,0.00627306869099095,0.5,0.3727810650887574,0.23668639053254437,0.015827035467663984
adj,core_repo40_regime,120,105,0.07427672508355483,-0.0101046590709319,0.47619047619047616,76,0.12348980911602571,-0.01215700489594325,0.4868421052631579,0.36666666666666664,0.21666666666666667,0.005133436167163333
adj,core_repo50_regime,91,78,0.08490974331986091,0.00794638658557295,0.5,54,0.1499766436057339,0.00627306869099095,0.5,0.37362637362637363,0.24175824175824176,0.027946386585572948
adj,core_repo60_regime,61,52,0.11284609364313052,0.02749906493108025,0.5192307692307693,40,0.11729198855414029,-0.10651981368415911,0.425,0.3770491803278688,0.21311475409836064,0.046595218777234104
adj,magic_c425_c5gt3_regime,39,38,0.11810570080771901,0.05488039770411485,0.6052631578947368,25,0.10262211925722242,0.0315145584472277,0.52,0.15384615384615385,0.05128205128205128,0.0856830292830622
adj,magic_repo40_c425_c5gt3_regime,33,32,0.13627834696442997,0.05488039770411485,0.625,20,0.0847553765897964,-0.01215700489594325,0.45,0.15151515151515152,0.030303030303030304,0.08813039770411485
adj,magic_repo50_c425_c5gt3_regime,26,25,0.1606077616275954,0.0639338341271076,0.64,15,0.10806167551017634,-0.0062420494071877,0.4666666666666667,0.15384615384615385,0.038461538461538464,0.0984338341271076
