signal,raw_signals,adj_signals,raw_avg_20d,adj_avg_20d,raw_median_20d,adj_median_20d,raw_win_20d,adj_win_20d,raw_avg_60d,adj_avg_60d,raw_median_60d,adj_median_60d,raw_win_60d,adj_win_60d,raw_pct_signal_day_gt9,adj_pct_signal_day_gt9,raw_pct_next_gap_gt3,adj_pct_next_gap_gt3,avg_raw_adj_median_20d,avg_raw_adj_win_20d,min_raw_adj_signals,rank_score
magic_repo50_c440_c5gt3_regime,51.0,47.0,0.1595324078675369,0.15122479936447833,0.1078523856364951,0.0886193862734387,0.673469387755102,0.6222222222222222,0.17041358952248697,0.16887891699398686,0.0876091625774768,0.018823370871277,0.5714285714285714,0.5172413793103449,0.2549019607843137,0.2553191489361702,0.1568627450980392,0.14893617021276595,0.0982358859549669,0.6478458049886622,47.0,0.13955504695269935
magic_repo40_c440_c5gt5_regime,61.0,58.0,0.13974828276352616,0.13116747086563232,0.0965587336914219,0.0742565754602193,0.6379310344827587,0.6,0.13383493871135763,0.12107266345741247,0.0315145584472277,-0.01215700489594325,0.5365853658536586,0.4722222222222222,0.29508196721311475,0.29310344827586204,0.18032786885245902,0.1724137931034483,0.0854076545758206,0.6189655172413793,58.0,0.12370075802409645
magic_repo40_c440_c5gt8_regime,61.0,58.0,0.13974828276352616,0.13116747086563232,0.0965587336914219,0.0742565754602193,0.6379310344827587,0.6,0.13383493871135763,0.12107266345741247,0.0315145584472277,-0.01215700489594325,0.5365853658536586,0.4722222222222222,0.29508196721311475,0.29310344827586204,0.18032786885245902,0.1724137931034483,0.0854076545758206,0.6189655172413793,58.0,0.12370075802409645
magic_repo50_c425_c5gt3_regime,29.0,26.0,0.1600912874704612,0.1606077616275954,0.09711369626144224,0.0639338341271076,0.6785714285714286,0.64,0.1329834993079133,0.10806167551017634,0.0876091625774768,-0.0062420494071877,0.5789473684210527,0.4666666666666667,0.13793103448275862,0.15384615384615385,0.034482758620689655,0.038461538461538464,0.08052376519427493,0.6592857142857143,26.0,0.1188809080514178
magic_repo40_c440_c5gt3_regime,62.0,59.0,0.13436953784789135,0.12565380715011737,0.0886193862734387,0.06909520479366345,0.6271186440677966,0.5892857142857143,0.12890777846089185,0.11582459642209525,0.02516896465925235,-0.0180719603846988,0.5238095238095238,0.4594594594594595,0.2903225806451613,0.288135593220339,0.1774193548387097,0.1694915254237288,0.07885729553355107,0.6082021791767555,59.0,0.11524773136890216
magic_c440_c5gt5_regime,71.0,68.0,0.1162469464474394,0.10889086005464378,0.07627661020027315,0.0639338341271076,0.6029411764705882,0.5692307692307692,0.1181276073942763,0.11065197134764757,0.0315145584472277,0.006290660732044651,0.5306122448979592,0.5,0.29577464788732394,0.29411764705882354,0.18309859154929578,0.17647058823529413,0.07010522216369038,0.5860859728506786,68.0,0.10432241673382611
magic_c440_c5gt8_regime,71.0,68.0,0.1162469464474394,0.10889086005464378,0.07627661020027315,0.0639338341271076,0.6029411764705882,0.5692307692307692,0.1181276073942763,0.11065197134764757,0.0315145584472277,0.006290660732044651,0.5306122448979592,0.5,0.29577464788732394,0.29411764705882354,0.18309859154929578,0.17647058823529413,0.07010522216369038,0.5860859728506786,68.0,0.10432241673382611
magic_repo40_c425_c5gt5_regime,34.0,32.0,0.1480328575954001,0.14640338064725691,0.0639338341271076,0.0639338341271076,0.6666666666666666,0.6451612903225806,0.12495950029879356,0.09306386045501316,0.10944659031411355,-0.0062420494071877,0.5909090909090909,0.47368421052631576,0.14705882352941177,0.15625,0.029411764705882353,0.03125,0.0639338341271076,0.6559139784946236,32.0,0.10311662982603231
magic_repo40_c425_c5gt8_regime,34.0,32.0,0.1480328575954001,0.14640338064725691,0.0639338341271076,0.0639338341271076,0.6666666666666666,0.6451612903225806,0.12495950029879356,0.09306386045501316,0.10944659031411355,-0.0062420494071877,0.5909090909090909,0.47368421052631576,0.14705882352941177,0.15625,0.029411764705882353,0.03125,0.0639338341271076,0.6559139784946236,32.0,0.10311662982603231
magic_repo60_c460_c5gt5_regime,43.0,40.0,0.14383690434786972,0.1356183434411163,0.07627661020027315,0.0639338341271076,0.625,0.5675675675675675,0.16880837966699624,0.14955010084460424,0.1312840180507503,-0.0820721005148719,0.5172413793103449,0.44,0.3488372093023256,0.375,0.13953488372093023,0.125,0.07010522216369038,0.5962837837837838,40.0,0.09936197892044712
