price_mode,year,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3
raw,2026,magic_repo40_c425_c5gt8_regime,17,15,0.2585468730860199,0.2062655613599279,0.8666666666666667,3,0.4627831832289502,0.4267191606423355,1.0,0.23529411764705882,0.11764705882352941
raw,2021,magic_repo50_c425_c5gt8_regime,0,0,,,,0,,,,,
raw,2022,magic_repo50_c425_c5gt8_regime,0,0,,,,0,,,,,
raw,2023,magic_repo50_c425_c5gt8_regime,9,9,0.26564342422152515,0.1687216839924045,0.7777777777777778,9,0.3039925109463964,0.2041720210847484,0.7777777777777778,0.1111111111111111,0.0
raw,2024,magic_repo50_c425_c5gt8_regime,2,2,-0.115453628975631,-0.115453628975631,0.0,2,-0.23029283110670445,-0.23029283110670445,0.0,0.0,0.0
raw,2025,magic_repo50_c425_c5gt8_regime,3,3,-0.09998323749520739,-0.1149241292437165,0.3333333333333333,3,-0.20690299697164552,-0.2226971005148718,0.3333333333333333,0.0,0.0
raw,2026,magic_repo50_c425_c5gt8_regime,15,13,0.2857530673584228,0.2062655613599279,0.9230769230769231,3,0.4627831832289502,0.4267191606423355,1.0,0.2,0.13333333333333333
raw,2021,magic_repo60_c425_c5gt8_regime,0,0,,,,0,,,,,
raw,2022,magic_repo60_c425_c5gt8_regime,0,0,,,,0,,,,,
raw,2023,magic_repo60_c425_c5gt8_regime,8,8,0.2777586417501652,0.1735274746225018,0.75,8,0.3164700721791024,0.18103598600151322,0.75,0.125,0.0
raw,2024,magic_repo60_c425_c5gt8_regime,1,1,-0.1383610867673587,-0.1383610867673587,0.0,1,-0.3415846951051295,-0.3415846951051295,0.0,0.0,0.0
raw,2025,magic_repo60_c425_c5gt8_regime,2,2,-0.17288833688337216,-0.17288833688337216,0.0,2,-0.32611177468108216,-0.32611177468108216,0.0,0.0,0.0
raw,2026,magic_repo60_c425_c5gt8_regime,9,8,0.3476337609140543,0.27708838783418965,1.0,2,0.6503701935546868,0.6503701935546868,1.0,0.2222222222222222,0.0
raw,2021,magic_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_c440_c5gt3_regime,19,19,0.16274581809308683,0.1146104700687459,0.6842105263157895,19,0.2257890441517362,0.1452419039592731,0.6842105263157895,0.15789473684210525,0.10526315789473684
raw,2024,magic_c440_c5gt3_regime,12,12,0.001039943678019753,-0.08408144430476235,0.3333333333333333,12,-0.018600205466803497,-0.0960533794582421,0.3333333333333333,0.08333333333333333,0.0
raw,2025,magic_c440_c5gt3_regime,13,13,0.04002053895385354,0.0458269612811221,0.5384615384615384,13,-0.0020907731988308864,-0.1298245463012459,0.38461538461538464,0.3076923076923077,0.07692307692307693
raw,2026,magic_c440_c5gt3_regime,32,27,0.1963976349041426,0.2008843560194568,0.7407407407407407,9,0.2517264530774002,0.0876091625774768,0.7777777777777778,0.40625,0.3125
raw,2021,magic_repo40_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo40_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo40_c440_c5gt3_regime,16,16,0.17134036412279385,0.08841232066507711,0.6875,16,0.2361763385096846,0.17470696252201076,0.6875,0.1875,0.125
raw,2024,magic_repo40_c440_c5gt3_regime,9,9,0.038262297941714554,-0.078263568350498,0.3333333333333333,9,0.011132874879459865,-0.0731057918082048,0.3333333333333333,0.0,0.0
raw,2025,magic_repo40_c440_c5gt3_regime,11,11,0.044901345671790535,0.0458269612811221,0.5454545454545454,11,-0.01616189791402132,-0.1298245463012459,0.36363636363636365,0.36363636363636365,0.09090909090909091
raw,2026,magic_repo40_c440_c5gt3_regime,29,24,0.22175327759877442,0.20088824060502325,0.7916666666666666,8,0.2737628127761501,0.2571641616099062,0.75,0.3793103448275862,0.27586206896551724
raw,2021,magic_repo50_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo50_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo50_c440_c5gt3_regime,15,15,0.19317642544896169,0.1146104700687459,0.7333333333333333,15,0.2565208719769082,0.2041720210847484,0.7333333333333333,0.13333333333333333,0.06666666666666667
raw,2024,magic_repo50_c440_c5gt3_regime,7,7,0.052448352423657925,-0.0898993202590267,0.2857142857142857,7,-0.0027658049963579074,-0.1190009671082794,0.2857142857142857,0.0,0.0
