price_mode,candidate,exit_rule,year,trades,avg_return,median_return,win_return,avg_excess,median_excess,win_excess,avg_hold_days,median_hold_days,pct_exit_before_20d,pct_reason_close_below_ma10,pct_reason_fixed20,pct_reason_close_below_ma5,pct_reason_close_sl8,pct_reason_delayed3_close_below_ma10,pct_reason_delayed3_close_below_ma5,pct_reason_delayed3_close_sl8
adj,candidate_b_magic_c440_c5gt5,close_below_ma10,2025,13,0.041793706264537094,-0.006818183567701475,0.46153846153846156,0.037607592960925744,-0.012804871601375112,0.46153846153846156,10.23076923076923,10.0,0.9230769230769231,0.9230769230769231,0.07692307692307693,,,,,
adj,candidate_b_magic_c440_c5gt5,close_below_ma10,2026,29,0.0927243089256389,-0.018604651162790753,0.4482758620689655,0.054494826506711905,-0.054345990296110536,0.4482758620689655,9.89655172413793,7.0,0.9310344827586207,0.9655172413793104,0.034482758620689655,,,,,
adj,candidate_b_magic_c440_c5gt5,close_below_ma5,2023,13,0.06121750938548854,-0.02181818366862065,0.38461538461538464,0.05364507121909025,-0.042669258420369505,0.38461538461538464,5.6923076923076925,4.0,1.0,,,1.0,,,,
adj,candidate_b_magic_c440_c5gt5,close_below_ma5,2024,12,0.03312216535330095,-0.03467508284100973,0.08333333333333333,0.028173158728938153,-0.03396400941258659,0.16666666666666666,3.25,2.5,1.0,,,1.0,,,,
adj,candidate_b_magic_c440_c5gt5,close_below_ma5,2025,13,0.004118033854210689,-0.01995012468827928,0.46153846153846156,0.009295840298803336,-0.010982358202818565,0.38461538461538464,5.0,3.0,1.0,,,1.0,,,,
adj,candidate_b_magic_c440_c5gt5,close_below_ma5,2026,29,0.08703314299639091,-0.014062501598303467,0.4827586206896552,0.07056079367300819,-0.006375862513196773,0.4827586206896552,5.586206896551724,4.0,1.0,,,1.0,,,,
adj,candidate_b_magic_c440_c5gt5,close_sl8,2023,13,0.12903857297575147,-0.07818181828857418,0.46153846153846156,0.11672153277761484,-0.0679914743461022,0.38461538461538464,13.076923076923077,21.0,0.46153846153846156,,0.5384615384615384,,0.46153846153846156,,,
adj,candidate_b_magic_c440_c5gt5,close_sl8,2024,12,0.07393639128651561,-0.034354947845738226,0.4166666666666667,0.05492825030378682,-0.06393060352906615,0.4166666666666667,15.083333333333334,21.0,0.4166666666666667,,0.5833333333333334,,0.4166666666666667,,,
adj,candidate_b_magic_c440_c5gt5,close_sl8,2025,13,0.05566700085409468,0.09226932668329169,0.5384615384615384,0.05315426475647421,0.04582696128112218,0.5384615384615384,15.692307692307692,21.0,0.38461538461538464,,0.6153846153846154,,0.38461538461538464,,,
adj,candidate_b_magic_c440_c5gt5,close_sl8,2026,29,0.14118977363052293,-0.0821917808219178,0.4482758620689655,0.09434175877173229,-0.0700747470705454,0.41379310344827586,12.310344827586206,8.0,0.5172413793103449,,0.4827586206896552,,0.5172413793103449,,,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma10,2023,13,0.12823697817901494,-0.03571428500427698,0.46153846153846156,0.12187690724480592,-0.025577372023330103,0.46153846153846156,10.538461538461538,9.0,0.9230769230769231,,0.07692307692307693,,,0.9230769230769231,,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma10,2024,12,0.019965553683849713,-0.05047750125394307,0.16666666666666666,0.01388121245308549,-0.04247022820033047,0.25,7.25,5.0,1.0,,,,,1.0,,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma10,2025,13,0.04274961147044231,-0.006818183567701475,0.46153846153846156,0.03777610976201333,-0.012804871601375112,0.46153846153846156,10.461538461538462,10.0,0.9230769230769231,,0.07692307692307693,,,0.9230769230769231,,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma10,2026,29,0.0927243089256389,-0.018604651162790753,0.4482758620689655,0.054494826506711905,-0.054345990296110536,0.4482758620689655,9.89655172413793,7.0,0.9310344827586207,,0.034482758620689655,,,0.9655172413793104,,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma5,2023,13,0.06937965180010146,-0.014285725929858217,0.46153846153846156,0.06200969630856733,-0.042669258420369505,0.46153846153846156,7.0,4.0,1.0,,,,,,1.0,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma5,2024,12,0.028996065003168665,-0.034581974941172156,0.08333333333333333,0.023508535614789532,-0.038817206702970786,0.16666666666666666,5.5,4.0,1.0,,,,,,1.0,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma5,2025,13,0.034708916434627084,0.023622053432041934,0.6153846153846154,0.0334598878619213,-0.0037253305394866487,0.46153846153846156,7.230769230769231,7.0,1.0,,,,,,1.0,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma5,2026,29,0.10263887582018286,0.0046511627906977715,0.5172413793103449,0.08313158705045255,0.021658954867284752,0.5517241379310345,7.068965517241379,5.0,1.0,,,,,,1.0,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_sl8,2023,13,0.12901042796041637,-0.07818181828857418,0.46153846153846156,0.12058088106456064,-0.052360636983680986,0.38461538461538464,14.846153846153847,21.0,0.46153846153846156,,0.5384615384615384,,,,,0.46153846153846156
adj,candidate_b_magic_c440_c5gt5,delayed3_close_sl8,2024,12,0.07393639128651561,-0.034354947845738226,0.4166666666666667,0.05492825030378682,-0.06393060352906615,0.4166666666666667,15.083333333333334,21.0,0.4166666666666667,,0.5833333333333334,,,,,0.4166666666666667
adj,candidate_b_magic_c440_c5gt5,delayed3_close_sl8,2025,13,0.06261571880281264,0.09226932668329169,0.6153846153846154,0.0541911846106493,0.04582696128112218,0.5384615384615384,17.384615384615383,21.0,0.3076923076923077,,0.6923076923076923,,,,,0.3076923076923077
adj,candidate_b_magic_c440_c5gt5,delayed3_close_sl8,2026,29,0.1562858210926767,-0.043137251820535405,0.4827586206896552,0.10525659147007094,-0.0700747470705454,0.4482758620689655,13.827586206896552,21.0,0.4827586206896552,,0.5172413793103449,,,,,0.4827586206896552
adj,candidate_b_magic_c440_c5gt5,delayed3_ma10_or_sl8,2023,13,0.12742583854479908,-0.03571428500427698,0.46153846153846156,0.12138197125723504,-0.025577372023330103,0.46153846153846156,10.153846153846153,8.0,0.9230769230769231,,0.07692307692307693,,,0.6153846153846154,,0.3076923076923077
adj,candidate_b_magic_c440_c5gt5,delayed3_ma10_or_sl8,2024,12,0.019965553683849713,-0.05047750125394307,0.16666666666666666,0.01388121245308549,-0.04247022820033047,0.25,7.25,5.0,1.0,,,,,0.75,,0.25
adj,candidate_b_magic_c440_c5gt5,delayed3_ma10_or_sl8,2025,13,0.04274961147044231,-0.006818183567701475,0.46153846153846156,0.03777610976201333,-0.012804871601375112,0.46153846153846156,10.461538461538462,10.0,0.9230769230769231,,0.07692307692307693,,,0.7692307692307693,,0.15384615384615385
adj,candidate_b_magic_c440_c5gt5,delayed3_ma10_or_sl8,2026,29,0.09533770803158355,-0.018604651162790753,0.4482758620689655,0.05618319580060028,-0.054345990296110536,0.4482758620689655,9.793103448275861,7.0,0.9310344827586207,,0.034482758620689655,,,0.5862068965517241,,0.3793103448275862
